node attribute,position,V point,V wave,video index
1.0,533.57544£¬535.65466,4.0£¬0.0,62.57544£¬-50.345337,1
-1.0,1224.5216£¬-100.015335,-6.5£¬19.918,-17.478394£¬-109.015335,1
-1.0,544.4762£¬72.77747,1.0£¬-6.928,5.4761963£¬50.777473,1
1.0,527.2438£¬552.39343,5.5£¬-2.598,53.243774£¬-43.606567,1
-1.0,950.0882£¬527.56335,37.5£¬30.31,-34.911804£¬-0.4366455,1
-1.0,1236.6014£¬333.05197,3.0£¬0.0,-66.39856£¬46.05197,1
-1.0,885.8298£¬610.2874,8.0£¬24.248,-17.170227£¬-89.712585,1
1.0,648.87317£¬443.93054,29.5£¬6.062,80.87317£¬31.930542,1
1.0,1226.7698£¬-41.646996,22.0£¬-57.156,-15.230225£¬-59.646996,1
1.0,882.096£¬458.32144,28.5£¬18.186,1.0960083£¬0.32144165,1
-1.0,1229.7891£¬339.89755,2.5£¬-0.866,-74.21094£¬42.897552,1
1.0,889.5009£¬390.70157,56.0£¬86.6,1.5009155£¬1.7015686,1
-1.0,1070.2811£¬567.2893,78.5£¬-7.794,-56.718872£¬17.289307,1
1.0,754.0491£¬349.7682,40.5£¬45.897999999999996,19.049072£¬54.76819,1
-1.0,863.79956£¬579.0254,14.5£¬42.434,-20.20044£¬-79.97461,1
-1.0,959.1049£¬523.2775,44.0£¬29.444,-30.89508£¬0.27752686,1
-1.0,1048.9192£¬562.128,120.5£¬7.7940000000000005,-94.08081£¬12.127991,1
1.0,829.23175£¬402.86115,36.5£¬21.65,17.23175£¬15.861145,1
1.0,510.8857£¬595.1994,34.0£¬5.196,39.88571£¬9.199402,2
1.0,1157.7688£¬-62.0278,-31.0£¬-3.4639999999999986,-84.2312£¬-71.0278,2
-1.0,519.93823£¬62.57375,-1.0£¬-3.464,-19.061768£¬40.57375,2
-1.0,1229.1681£¬266.4919,12.5£¬-4.33,-73.83191£¬-20.508087,2
1.0,697.4659£¬453.57068,35.5£¬-0.866,129.46588£¬41.57068,2
-1.0,1163.8048£¬-0.34009552,6.0£¬0.0,-78.19519£¬-18.340096,2
1.0,1240.6201£¬286.87433,-16.0£¬-3.4640000000000004,-63.379883£¬-10.125671,2
1.0,341.83368£¬92.597015,2.0£¬3.4639999999999995,11.833679£¬30.597015,2
1.0,789.60785£¬348.14038,49.0£¬43.3,54.60785£¬53.14038,2
1.0,796.98987£¬762.9412,14.0£¬-3.464,11.989868£¬4.941223,2
-1.0,868.0907£¬638.2584,8.0£¬69.28,-15.909302£¬-20.741577,2
1.0,1052.6796£¬605.2104,103.5£¬37.238,62.679565£¬82.21039,2
1.0,978.22174£¬471.45547,64.5£¬26.846,45.22174£¬87.455475,2
-1.0,251.59589£¬252.13396,19.5£¬23.382,-72.40411£¬-44.866043,2
-1.0,1036.2019£¬477.6614,59.5£¬23.382,-106.798096£¬-72.33859,2
1.0,1083.415£¬464.57278,33.0£¬46.764,97.1886£¬39.593353,3
1.0,1092.3634£¬535.3602,131.5£¬58.022,125.78735£¬86.313324,3
-1.0,530.8561£¬61.64567,1.0£¬5.196,-13.620117£¬-11.131802,3
-1.0,-117.12042£¬698.1806,7.5£¬2.598,-124.1353£¬46.99225,3
1.0,996.28156£¬590.94006,100.0£¬51.96,46.19336£¬63.37671,3
1.0,906.2732£¬398.20258,79.5£¬70.146,12.06012£¬21.749939,3
1.0,915.2274£¬640.23865,67.0£¬3.464,29.397644£¬29.951233,3
1.0,978.14233£¬480.37537,30.0£¬39.836,32.997375£¬63.624573,3
1.0,703.14624£¬448.75348,19.5£¬-4.33,54.27307£¬4.822937,3
-1.0,1249.7465£¬265.17398,17.5£¬33.774,19.957397£¬-74.72357,3
1.0,900.9628£¬433.1318,92.0£¬69.28,11.461914£¬42.430237,3
1.0,1133.4863£¬535.0486,62.0£¬3.464,63.2052£¬-32.240723,3
1.0,903.97015£¬659.6638,36.0£¬39.836,40.170593£¬80.63843,3
1.0,1038.7068£¬601.3595,102.0£¬39.836,79.60187£¬78.08197,3
1.0,973.1533£¬476.56458,30.0£¬45.032,28.691467£¬60.888,3
1.0,166.68086£¬263.1361,-54.5£¬11.258000000000003,-158.19576£¬-7.2747498,3
1.0,169.32462£¬269.9122,-44.0£¬6.927999999999997,-160.56213£¬-0.3963623,3
1.0,529.705£¬617.01184,19.0£¬1.732,18.819305£¬21.812439,4
1.0,1092.1387£¬737.9138,7.0£¬6.928,38.891357£¬198.54114,4
-1.0,-219.8599£¬673.0519,44.5£¬0.866,-152.93524£¬9.196228,4
-1.0,998.2719£¬565.0423,72.0£¬43.3,-3.703125£¬-14.115845,4
-1.0,197.87169£¬278.36407,2.5£¬-28.578,-57.45317£¬48.157013,4
1.0,923.9184£¬429.3165,67.5£¬61.486,34.976685£¬66.07852,4
1.0,917.68384£¬639.6052,63.0£¬-29.444,21.086487£¬-7.6875,4
1.0,976.607£¬509.04593,17.0£¬62.352,-3.505371£¬37.15628,4
1.0,752.55975£¬505.21002,54.5£¬7.794,55.093872£¬51.639343,4
1.0,844.0859£¬564.0857,-1.0£¬32.908,22.193298£¬63.19284,4
1.0,920.6851£¬484.0887,14.5£¬58.022,35.98578£¬71.75159,4
1.0,914.6104£¬662.2236,36.5£¬23.382,46.519714£¬23.965149,4
1.0,969.8027£¬511.75778,21.5£¬61.486,-8.419067£¬40.302307,4
1.0,847.39276£¬438.269,62.0£¬3.464,19.20166£¬18.749573,4
-1.0,421.7925£¬664.12506,16.0£¬-12.124,-59.653656£¬5.1707764,5
-1.0,1135.7894£¬-144.33737,58.5£¬63.218,-21.378418£¬-69.99519,5
-1.0,-297.57794£¬654.5728,115.0£¬22.516000000000002,-180.45752£¬-43.607788,5
-1.0,460.17914£¬671.1586,14.5£¬7.794,-50.142273£¬15.283386,5
1.0,1049.2325£¬563.0377,167.0£¬8.66,52.95099£¬-27.902344,5
1.0,1265.3019£¬362.31943,19.5£¬11.258,38.9552£¬91.887665,5
-1.0,822.9589£¬386.22983,67.5£¬35.506,-83.31427£¬-11.972748,5
1.0,986.9412£¬522.94653,18.0£¬25.98,8.798889£¬42.571167,5
1.0,779.871£¬538.1866,35.5£¬25.114,76.72473£¬89.433105,5
-1.0,1160.4521£¬30.17379,8.0£¬-69.28,8.050049£¬25.628195,5
-1.0,796.0832£¬529.19183,37.5£¬11.258000000000001,-6.53125£¬1.6714478,5
1.0,1285.2642£¬328.0277,65.5£¬37.238,35.5177£¬62.85373,5
-1.0,259.17972£¬87.36768,8.0£¬0.0,-75.09436£¬10.711357,5
-1.0,695.72156£¬364.89532,32.0£¬-5.196,-69.63226£¬31.90915,5
-1.0,135.4235£¬248.41139,28.0£¬53.692,-31.25737£¬-14.724716,5
-1.0,757.383£¬396.23196,29.0£¬5.196,-55.849243£¬-4.0502014,5
-1.0,481.3764£¬627.2651,27.0£¬1.732,-48.328613£¬10.253235,6
1.0,1162.0266£¬601.888,49.5£¬11.258,75.7605£¬73.38605,6
-1.0,452.97775£¬631.94556,35.5£¬-21.65,-60.608917£¬17.461609,6
-1.0,860.0939£¬616.3263,19.5£¬-4.33,-138.17804£¬51.283997,6
-1.0,820.5554£¬462.28503,61.5£¬-2.598,-156.05157£¬-46.760895,6
1.0,849.41046£¬500.34222,32.5£¬19.918,96.85071£¬-4.867798,6
1.0,1177.5239£¬20.444708,59.0£¬-38.104,58.156372£¬-11.716143,6
1.0,1145.3228£¬567.48553,40.5£¬-16.454,125.14435£¬-41.07245,6
1.0,301.18933£¬180.84544,1.5£¬7.794,-20.624054£¬67.330246,6
-1.0,985.4847£¬619.3189,35.5£¬-2.598,-68.93964£¬46.413086,6
-1.0,185.2059£¬292.14313,-20.0£¬-60.62,11.068207£¬80.18515,6
-1.0,778.5101£¬446.00336,88.5£¬-9.526,-68.88269£¬7.7343445,6
-1.0,980.23517£¬566.5737,27.5£¬42.434,-15.764832£¬-128.42627,6
-1.0,931.92236£¬605.1333,7.0£¬22.516000000000002,20.922363£¬-169.8667,6
1.0,734.80566£¬407.25186,89.0£¬-29.444,81.805664£¬36.25186,6
1.0,772.7898£¬500.30515,50.5£¬0.866,95.789795£¬-51.694855,6
1.0,691.36163£¬556.22766,121.5£¬80.538,114.36163£¬-22.772339,6
1.0,452.36615£¬432.17285,96.5£¬18.186,26.36615£¬11.172852,6
-1.0,1328.8245£¬585.1454,60.5£¬-12.99,-58.175537£¬-29.854614,6
1.0,306.59042£¬150.31737,16.5£¬12.99,64.59042£¬4.3173676,6
-1.0,612.42554£¬242.44766,12.0£¬-17.32,1.4255371£¬87.44766,6
-1.0,776.52246£¬511.78137,27.0£¬-1.7319999999999998,-226.47754£¬8.781372,6
1.0,319.16464£¬401.9424,54.5£¬-19.918,118.16464£¬39.942413,6
1.0,765.052£¬471.92477,81.0£¬0.0,38.052002£¬31.924774,6
1.0,464.85202£¬434.98776,69.0£¬1.732,21.85202£¬12.987762,6
1.0,774.77905£¬529.6429,23.0£¬-6.928,88.77905£¬19.642883,6
-1.0,1218.1002£¬624.9392,42.0£¬43.3,-35.89978£¬-85.06079,6
1.0,458.74222£¬472.74048,113.0£¬17.32,69.74222£¬5.7404785,6
1.0,946.1899£¬565.70044,-4.0£¬-17.32,49.18988£¬-104.29956,6
1.0,743.564£¬556.6037,62.5£¬19.918,67.564026£¬28.603699,6
1.0,479.87912£¬696.15405,23.5£¬2.598,58.08661£¬32.02899,7
1.0,1116.974£¬606.1395,41.5£¬32.042,33.388916£¬73.569885,7
-1.0,867.9467£¬655.0631,8.5£¬-12.99,-181.28583£¬92.02539,7
-1.0,1182.3416£¬404.05563,13.0£¬-13.856,-82.96033£¬41.736206,7
1.0,957.514£¬608.1151,41.0£¬-22.516,64.359436£¬-69.941956,7
-1.0,837.5394£¬510.60556,59.5£¬0.866,-149.4018£¬-12.340973,7
1.0,1174.6631£¬46.97718,23.5£¬14.722,14.2109375£¬16.80339,7
1.0,932.26044£¬557.6864,65.0£¬20.784,136.17725£¬28.494568,7
-1.0,1204.0039£¬209.05382,14.5£¬9.526,-81.260254£¬-118.97389,7
1.0,1048.7959£¬555.6443,4.5£¬6.062,236.44342£¬74.8624,7
1.0,305.58783£¬169.45172,6.0£¬36.372,46.40811£¬82.08404,7
1.0,798.9319£¬453.0129,105.0£¬20.784,103.21033£¬88.117584,7
-1.0,942.7472£¬364.213,38.0£¬25.98,-35.901978£¬-199.4129,7
-1.0,832.3293£¬566.1334,30.5£¬-0.866,-177.45392£¬34.57379,7
1.0,796.17554£¬566.0169,93.5£¬0.866,119.17554£¬14.016907,7
-1.0,894.4334£¬638.30225,45.0£¬38.104,-11.566589£¬-131.69775,7
-1.0,1360.2593£¬595.9961,39.0£¬71.012,-26.740723£¬-19.003906,7
1.0,331.6901£¬112.32164,16.5£¬-4.33,89.690094£¬-33.67836,7
1.0,595.7405£¬202.76924,8.0£¬24.248,-15.2595215£¬47.76924,7
-1.0,791.1162£¬546.0894,60.5£¬6.062,-211.88379£¬43.089417,7
1.0,396.43234£¬264.28687,43.0£¬-41.568,3.4323425£¬-0.71313477,7
1.0,290.09973£¬385.28485,51.0£¬-5.196,89.09973£¬23.284851,7
1.0,772.83167£¬509.86597,53.0£¬27.712,45.831665£¬69.86597,7
1.0,877.0939£¬495.12198,28.0£¬15.588000000000001,191.09387£¬-14.878021,7
-1.0,1188.895£¬636.0957,70.5£¬40.702,-65.10498£¬-73.9043,7
-1.0,999.18695£¬592.4628,46.5£¬42.434,-42.81305£¬-150.53717,7
-1.0,904.364£¬608.0366,29.5£¬19.918,-28.635986£¬-94.96338,7
1.0,737.45544£¬555.67914,35.0£¬36.372,61.455444£¬27.679138,7
1.0,781.90656£¬643.8614,62.0£¬-5.196,77.906555£¬-43.13861,7
-1.0,1107.633£¬-212.78836,-13.0£¬45.032,-25.016235£¬-68.60675,8
1.0,491.02994£¬697.54987,16.0£¬45.032,38.052185£¬65.60431,8
